osm_type,osm_id,category,name,name_ar,lat,lon,building_area_m2,addr_full,addr_city,operator,capacity,raw_tags,capacity_estimate,capacity_source,display_name,pm2_5,pm10,carbon_monoxide,ozone,nitrogen_dioxide,sulphur_dioxide,us_aqi,observation_time
way,341322160,school,Technicum des Frères Bouifel,,36.60805783571429,4.692490407142857,13102.83642578125,,Sidi Aïch,,,"{""addr:city"": ""Sidi Aïch"", ""addr:postcode"": ""06005"", ""amenity"": ""school"", ""name"": ""Technicum des Frères Bouifel""}",6551,calculated_from_area,Technicum des Frères Bouifel,11.3,23.7,120.0,98.0,1.0,0.5,57,2026-08-16T15:00
way,341322585,school,C.F.P.A. Sidi Aïch,مركز التكوين المهني,36.6060704090909,4.692867536363637,19901.43688964844,,Sidi Aïch,,,"{""addr:city"": ""Sidi Aïch"", ""addr:postcode"": ""06005"", ""amenity"": ""school"", ""name"": ""C.F.P.A. Sidi Aïch"", ""name:ar"": ""مركز التكوين المهني"", ""name:fr"": ""C.F.P.A. Sidi Aïch""}",9950,calculated_from_area,C.F.P.A. Sidi Aïch,11.3,23.7,120.0,98.0,1.0,0.5,57,2026-08-16T15:00
way,341439739,school,,,36.85588214,7.78824542,3506.197998046875,,,,,"{""amenity"": ""school""}",1753,calculated_from_area,مدرسة رقم 290,11.6,18.1,150.0,116.0,0.7,0.5,55,2026-08-16T15:00
way,341751027,place_of_worship,Mosquée Israâ et El Miâradj,مسجد الإسراء و المعراج,36.90579534,7.73721962,740.76171875,,,,,"{""amenity"": ""place_of_worship"", ""building"": ""mosque"", ""denomination"": ""sunni"", ""name"": ""Mosquée Israâ et El Miâradj"", ""name:ar"": ""مسجد الإسراء و المعراج"", ""religion"": ""muslim""}",740,calculated_from_area,Mosquée Israâ et El Miâradj,13.0,23.3,158.0,116.0,0.7,0.7,60,2026-08-16T15:00
way,341758174,place_of_worship,Mosquée El-Imam El-Kortobi,مسجد الإمام القرطبي,36.909645188888895,7.735838366666666,1775.99609375,,,,,"{""amenity"": ""place_of_worship"", ""building"": ""mosque"", ""denomination"": ""sunni"", ""name"": ""Mosquée El-Imam El-Kortobi"", ""name:ar"": ""مسجد الإمام القرطبي"", ""religion"": ""muslim""}",1775,calculated_from_area,Mosquée El-Imam El-Kortobi,13.0,23.3,158.0,116.0,0.7,0.7,60,2026-08-16T15:00
way,341829588,place_of_worship,Masjid El-Arkam Ibn Abi El-Arkam,مسجد الأرقم بن أبي الأرقم,36.8956986875,7.7380600375,649.575927734375,,,,,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""denomination"": ""sunni"", ""name"": ""Masjid El-Arkam Ibn Abi El-Arkam"", ""name:ar"": ""مسجد الأرقم بن أبي الأرقم"", ""religion"": ""muslim""}",649,calculated_from_area,Masjid El-Arkam Ibn Abi El-Arkam,13.0,23.3,158.0,116.0,0.7,0.7,60,2026-08-16T15:00
way,341835268,place_of_worship,,,36.88933015,7.730423299999999,561.64599609375,,,,,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""muslim""}",561,calculated_from_area,مسجد رقم 466,13.0,23.3,158.0,116.0,0.7,0.7,60,2026-08-16T15:00
way,342034053,place_of_worship,,,36.89434412,7.72366502,1228.18408203125,,,,,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""muslim""}",1228,calculated_from_area,مسجد رقم 467,13.0,23.3,158.0,116.0,0.7,0.7,60,2026-08-16T15:00
way,342137734,health_facility,EPSP Sidi Aich,المؤسسة العمومية للصحة الجوارية سيدي عيش,36.613611991666666,4.688362383333334,3614.126708984375,,,,,"{""amenity"": ""hospital"", ""contact:email"": ""epspsidiaich.dz@gmail.com"", ""contact:website"": ""http://www.epsp-sidiaich.dz/"", ""healthcare"": ""hospital"", ""name"": ""EPSP Sidi Aich"", ""name:ar"": ""المؤسسة العمومية للصحة الجوارية سيدي عيش"", ""name:fr"": ""Etablissement Public de Santé de proximité Sidi Aïch"", ""name:kab"": ""Sbitar Aqdim""}",100,default_estimate_non_shelter,EPSP Sidi Aich,11.3,23.7,120.0,98.0,1.0,0.5,57,2026-08-16T15:00
way,342286213,health_facility,Hôpital psychiatrique Aboubaker Errazi,,36.89839555833333,7.724956325,61967.818603515625,,Annaba,,,"{""addr:city"": ""Annaba"", ""addr:postcode"": ""23000"", ""addr:street"": ""Boulevard Belaid Belkacem"", ""amenity"": ""hospital"", ""barrier"": ""wall"", ""healthcare:speciality"": ""psychiatry"", ""name"": ""Hôpital psychiatrique Aboubaker Errazi"", ""phone"": ""+213 38 84 97 52""}",100,default_estimate_non_shelter,Hôpital psychiatrique Aboubaker Errazi,13.0,23.3,158.0,116.0,0.7,0.7,60,2026-08-16T15:00
way,342314638,place_of_worship,Mosquée de Sidi Bou Merouane,,36.89845465,7.764139675,1070.049560546875,,Annaba,,,"{""addr:city"": ""Annaba"", ""addr:postcode"": ""23000"", ""amenity"": ""place_of_worship"", ""building"": ""mosque"", ""denomination"": ""sunni"", ""name"": ""Mosquée de Sidi Bou Merouane"", ""religion"": ""muslim"", ""wikidata"": ""Q3324910"", ""wikimedia_commons"": ""Category:Mosquée de Sidi Bou Merouane"", ""wikipedia"": ""ar:مسجد أبو مروان الشريف""}",1070,calculated_from_area,Mosquée de Sidi Bou Merouane,11.6,18.1,150.0,116.0,0.7,0.5,55,2026-08-16T15:00
way,342351580,fire_station,Protection civile Sidi Aïch,الحماية المدنية,36.611194925,4.692474975,1288.8238525390625,,,Ministère de l'Intérieur et des Collectivités locales,,"{""amenity"": ""fire_station"", ""brand"": ""Protection civile algérienne"", ""brand:ar"": ""الحماية المدنية الجزائرية"", ""brand:fr"": ""Protection civile algérienne"", ""brand:wikidata"": ""Q3407913"", ""brand:wikipedia"": ""fr:Protection civile en Algérie"", ""contact:phone"": ""14"", ""name"": ""Protection civile Sidi Aïch"", ""name:ar"": ""الحماية المدنية"", ""name:ber"": ""ⴰⵃⵓⴷⴷⵓ ⴰⵖⴰⵔⵉⵎ"", ""name:fr"": ""Protection civile"", ""name:kab"": ""Aḥuddu aɣarim"", ""operator"": ""Ministère de l'Intérieur et des Collectivités locales"", ""operator:ar"": ""وزارة الداخلية والجماعات المحلية والتهيئة العمرانية"", ""operator:fr"": ""Ministère de l'Intérieur et des Collectivités locales"", ""operator:website"": ""https://www.interieur.gov.dz/index.php/fr/"", ""operator:wikidata"": ""Q3315224"", ""operator:wikipedia"": ""fr:Ministère de l'Intérieur et des Collectivités locales"", ""phone"": ""14"", ""website"": ""https://www.protectioncivile.dz/"", ""wikidata"": ""Q3407913"", ""wikipedia"": ""fr:Protection civile en Algérie""}",30,default_estimate_non_shelter,Protection civile Sidi Aïch,11.3,23.7,120.0,98.0,1.0,0.5,57,2026-08-16T15:00
way,342358257,health_facility,Polyclinique d'El Flaye,مستوصف الفلاي,36.61195553333333,4.670139855555556,3014.8026123046875,,الفلاي,,,"{""addr:city"": ""الفلاي"", ""addr:city:ar"": ""الفلاي"", ""amenity"": ""clinic"", ""healthcare"": ""clinic"", ""name"": ""Polyclinique d'El Flaye"", ""name:ar"": ""مستوصف الفلاي""}",20,default_estimate_non_shelter,Polyclinique d'El Flaye,11.3,23.7,120.0,98.0,1.0,0.5,57,2026-08-16T15:00
